,% Inhibitor,% Promoter,Total Sentences Found
pdgfr,0.0002515969972591847,0.999748420715332,5
tnfa,0.36827694780206205,0.6317230613850471,9
pi3k,0.6230966746200769,0.37690331780140696,24
edta,0.16287140173413459,0.8371285838740212,7
ppc,0.14980012551997787,0.8501998735335655,25
pdl,0.0009734577179187909,0.9990265071392059,2
fitc,0.10578753448789939,0.8942124677472748,10
msf,0.46231227231857536,0.5376877409527713,11
ros,0.4408822153526478,0.5591177804074532,33
arhox1,0.3119434888059105,0.6880565113711378,18
lps,0.4941021468039253,0.505897871853449,8
ra,0.4255582026506696,0.5744417924734686,120
nes,0.261683231223807,0.7383167992187997,7
shh,0.45566457013166334,0.5443354260113423,79
opn,0.08678954152045272,0.9132104551087,70
p2,0.5771661015056377,0.42283389728922605,49
ppi,0.2867700809835568,0.7132299188480105,764
irf,0.5115753309872607,0.488424671862169,53
gpcr,0.9758699735005697,0.024130042928542633,3
hoxa-4,0.6894559562206268,0.31054405868053436,2
fatp,0.9981881976127625,0.0018117660656571388,1
mos,0.42237135961598443,0.577628637096738,60
oa/aa,0.9971798658370972,0.002820172579959035,1
fniii,0.9992197155952454,0.0007802925028954633,4
cspg4,0.9977779984474182,0.002221990842372179,1
peo,0.40593829107236684,0.5940617087809796,449
ci,0.18398716665538042,0.8160128329120309,33
ps6,0.3096537709447148,0.6903462245143601,40
ctx,0.015850904339458793,0.9841490685939789,4
hepes,0.00826341059000697,0.9917366087436676,10
mu,0.4781496933731251,0.5218503060587681,25
igg,0.17669164545759075,0.823308352923738,111
il-8,0.5907659550430253,0.40923404325682594,6
hoxa-1,0.40991105139255524,0.5900889784097672,2
d-gal-1,0.0005058112414860117,0.9994941981215226,19
pecam-1,0.016565103898756206,0.9834349155426025,3
xbp1,0.4414343014590298,0.5585656998375961,29
hsyn,0.08333376049995422,0.9166662096977234,1
ara-c,0.501265425933525,0.49873460037633777,2
t- pbs,0.0067495983093976974,0.9932504892349243,1
atf3,0.0011980126291746274,0.9988019977297101,7
camkii,0.06956475228071213,0.9304352402687073,1
kspg,0.8573332786560058,0.14266673008387443,5
emi1,0.7940379619598389,0.20596202732995153,5
brdu,0.1197421867183266,0.8802578179174816,128
atf-2,0.1888006810339583,0.811199325438891,37
biop4,0.9993626475334167,0.000637324177660048,1
wga,0.3225446083233692,0.677455389945923,15
mtorc1,0.8532821811280552,0.1467178155878421,22
il-4,0.4664643914050733,0.533535611744608,27
trk,0.7900479920163245,0.20995200109708764,103
zymosan,0.17529309259788578,0.824706912863933,42
dmem,0.09131153683320635,0.9086884718372261,58
limk1,0.8023318139144416,0.1976681825309732,26
amp,0.5237451979365023,0.4762547990992332,74
cop-1,0.9115773439407349,0.08842270076274872,2
oegs,0.5876587629318237,0.41234123706817627,1
am-7,0.0005871843895874918,0.9994127750396729,1
ntn,0.671349563791732,0.32865042996361865,124
fdd,0.12199109323555604,0.8780089020729065,5
hpma,0.0071351234801113605,0.9928648471832275,1
gfap –/–,0.5221427083015442,0.4778572618961334,1
rhamm,0.9992367029190063,0.0007632682682015002,1
mrf,0.9992823004722595,0.0007176788058131933,1
slits,0.4872398997977143,0.51276011181557,17
rtn4,0.7644008824601769,0.23559910960029812,5
sema6,0.9981288313865662,0.00187117385212332,1
phpma,0.028027066531649325,0.9719729423522949,4
em,0.27520990895077324,0.7247900871433968,91
egf-l,0.8591021803856295,0.14089781554503134,14
g- csf,0.0003275730414316058,0.9996724128723145,1
n-cam,0.6664334831247861,0.3335665209470554,54
pmp22,0.6067939423383601,0.3932060547391302,30
bsa,0.1308997069868686,0.8691002939187455,60
ssea-1,0.2536425754897209,0.746357418520347,16
nt4,0.9998173117637634,0.00018276559421792626,1
psp,0.00036259525222703815,0.9996373653411865,1
dtt,0.5742204785346985,0.4257795214653015,1
marcks,0.5748720984556712,0.4251278941417695,10
dscam,0.4717030642170678,0.5282969345143476,51
npfs,0.001068412842869293,0.9989316165447235,2
mip-1α,0.23227691603824496,0.7677230965346098,4
cgrp-,0.0013044460696013023,0.9986955126126608,3
p(tmc,0.4857438976312271,0.514256098869597,65
gdnpf,0.3310364423086867,0.6689635571092367,3
ptsd,0.9991623163223267,0.0008377107442356646,1
klf4,0.2957230861502467,0.7042769205399964,20
alcam,0.061886269511887804,0.9381136894226074,3
psm,0.00024127443612087518,0.999758780002594,1
endo-n,0.39452167431954877,0.6054783276995295,8
h&e,0.00035968092270195485,0.9996403217315674,5
cy7,0.33253470121417195,0.6674652555957437,3
bme,0.0279307803575648,0.9720692336559296,4
drgs,0.40334434898686594,0.5966556495957775,105
map kinase,0.09720026720190487,0.902799733925522,21
gefs,0.1889290710290273,0.8110709389050802,3
mnsod,0.9521885216236115,0.047811539960093796,2
olig2,0.1500980250379403,0.849901983757653,21
plexina4,0.0003524169005686417,0.9996476173400879,3
sod1,0.4972707968117902,0.5027292144950479,2
tmb,0.017430784342910295,0.9825692261968341,7
creb,0.49754772977080547,0.5024522827107234,29
ngn-1,0.007679357659071684,0.9923205971717834,1
bmp,0.37557539828343406,0.6244246023436842,42
ngr1,0.6668059898688311,0.33319400913406094,217
am-3,0.9467206001281738,0.053279388695955276,1
tace,0.5994824964320287,0.40051750708662437,5
rust,0.5834826129690842,0.4165173896824279,19
p-akt,0.7532420186325908,0.24675799623219064,4
p/caf,0.9895167946815491,0.010483212769031525,1
timps,0.005736203980632126,0.9942637979984283,2
cl,0.32892111373038435,0.6710788852741154,39
itga7,0.5529986457549967,0.44700133918244817,11
igfbp-6,0.995079755783081,0.004920187406241894,1
tgf-(3,0.47590439548366703,0.5240956004709005,2
socs,0.6604932333187511,0.33950677227403503,6
egf-,0.33265025935058173,0.6673497801336149,3
pedf,0.19351920354737168,0.806480794700162,28
tsc1,0.803336501121521,0.19666349667750183,4
psd-95,0.33498336498936016,0.6650166610876719,3
nds,0.008263415074907243,0.9917365610599518,2
iba1,0.1366440932752864,0.8633559123213802,35
rock,0.9169502499082062,0.08304975115507576,88
egfp,0.11715487081124189,0.8828451369880457,54
crp-,0.53063640370965,0.46936357181402855,2
pip2,0.8157913386697017,0.18420865364272945,7
stat3,0.36033101743806334,0.6396689874564417,138
tax1bp1,0.0021988730198548487,0.997801144917806,3
pkcα,0.9984433054924011,0.0015566886868327856,2
ppre,0.47053687938180155,0.5294631205766477,1355
p-c-jun,0.4369706807890907,0.5630293270180118,10
αtub,0.0002391128073213622,0.9997609257698059,1
bdnf,0.6960539199646435,0.30394607745435,587
nf-κb,0.621688988946733,0.378311012998373,21
ihh,0.7216991456225514,0.27830082385480637,4
lim,0.46166822404029517,0.5383317789343588,48
pka,0.668659586211383,0.33134040772173373,23
mmtv,0.9955958326657613,0.004404141004973401,3
bp,0.5789569281257206,0.4210430710124826,27
laminin,0.03553532058753117,0.9644646829495022,539
cret,0.33822534228481044,0.6617746657235936,6
vip,0.8161262944340706,0.1838737156285788,4
nrn1,0.3977084562885076,0.6022915457423161,70
s6k1,0.8316737067504251,0.1683262950357451,47
nmda,0.8560814204833445,0.14391857341704323,74
mif,0.10839641017938607,0.8916035894687999,34
tmc,0.33352512707157683,0.6664748982681582,3
p5klf4,0.10353445286058229,0.8964655368842862,11
slpi,0.4999499000259675,0.5000501026806887,4
tnf alpha,0.00034546456299722195,0.9996545314788818,1
cs,0.27088217803561987,0.7291178281619642,95
nlcam,0.0005659516900777817,0.9994340538978577,1
hna,0.5908133864158877,0.4091866112057762,121
galc,0.5304027735387948,0.4695972342769065,11
pont,0.3708836492062445,0.629116351084372,69
mam,0.33714035564723116,0.6628596285251357,6
ccl5,0.7266323566436768,0.27336767315864563,1
dic,0.19193367955449503,0.8080663126776926,10
cgrp,0.38793906675074885,0.6120609372544674,55
chpf,0.9998668432235718,0.00013318282435648143,1
gdp,0.9982548207044601,0.0017451942258048803,4
emap ii,0.8748974502086639,0.12510255826055072,2
plap,0.001060412178048864,0.9989396035671234,2
il6,0.9977293014526367,0.0022707232274115086,2
pla2,0.5034351828508079,0.49656481888087,2
baab,0.04069849103689194,0.9593014717102051,1
apkc,0.17470074442680925,0.8252992391586303,5
vdr,0.9414023160934448,0.05859775096178055,1
chabc,0.16685844819035195,0.8331415468674982,164
fcs,0.0010172375768888742,0.9989827871322632,3
jun/stat6,0.4938447665190324,0.5061552205588669,4
csat,0.001003807158364604,0.9989962577819824,3
mcp1,0.0005046403384767473,0.9994953870773315,1
postn,0.4221604242507705,0.5778395743361345,56
rock2,0.8435632589637407,0.15643673501290323,64
pi,0.381381830212459,0.6186181869865819,22
abc,0.6294080177709065,0.3705919895276789,191
cl-p1,0.9997724890708923,0.0002274888684041798,1
dlg,0.3155454341103905,0.6844545803498476,10
smp,0.9998435974121094,0.00015636984608136117,1
rhd,0.9998071789741516,0.00019284563313703984,1
pi-plc,0.49370052805170417,0.5062994821928442,2
moetacl,0.001150483381934464,0.9988495409488678,2
pe,0.35468793018662836,0.6453120730646853,28
pmsf,0.028474339462783455,0.9715256435530526,7
pdpk1,0.9860208332538605,0.013979158451547846,2
ttx,0.6414597340010326,0.3585402697961613,17
pip3,0.9969566702842713,0.0030433279811404646,5
bmg,0.0018550748936831951,0.9981449842453003,1
dclks,0.7211619019508362,0.27883808904880425,4
dioa,0.36320470368770436,0.636795296435397,74
gfp,0.015407982791471948,0.9845920154083596,392
tgf-13,0.34808310432126743,0.6519168902188539,10
syt,0.3314872898336034,0.6685127244951824,3
s6,0.5426540603818596,0.457345937498498,56
pp2a,0.7253024653376391,0.2746975194089221,12
dha,0.6757633797824383,0.3242366556660272,4
ptp,0.9329974527160326,0.06700254899503004,12
lingo-1,0.8243481782992603,0.17565182075243987,18
te,0.34308123228256593,0.6569187778473133,50
igfbp-2,0.01699751242995262,0.9830024838447571,1
lif,0.258159639168601,0.7418403623393411,48
ep,0.11054389956407248,0.8894560977816581,10
omp,0.8655147850513458,0.1344852062757127,2
cscl,0.42661571491044015,0.5733842551708221,2
tnfr,0.7536876797676086,0.24631229043006897,1
sicam-i,0.005598736926913261,0.9944012761116028,1
igf-i,0.022790461778640747,0.9772095084190369,1
phb,0.0014537678798660636,0.9985462427139282,1
ncan,0.8807009103045511,0.11929910088517881,42
py397 fak,0.00041181941439087194,0.9995882113774618,3
sm,0.7433380557875353,0.256661942808023,80
ng-cam,0.66786500144129,0.3321350135956891,3
phm,0.657839891850017,0.3421601146304359,6
jnk,0.5479306177169617,0.45206937313404133,21
rhogdi,0.999463697274526,0.0005363386250489081,3
p-creb,0.6278253197669983,0.3721747100353241,1
pl,0.2426382971009573,0.7573617074917451,37
hoxa-2,0.5832808017730713,0.4167192280292511,1
pva,0.49932553991675377,0.5006744489073753,2
iap-1,0.9996986389160156,0.0003013678942807019,1
nsc,0.29429702163548566,0.7057029800017167,65
kpi,0.2332947925257031,0.7667052140459418,5
s9,0.6299894724493655,0.3700105180799834,11
ptprs,0.9998567700386047,0.0001432518329238519,2
lrp1,0.9998483657836914,0.00015164951037149876,1
tianjin,0.11416212492622435,0.8858378712708751,12
pthrp,0.9531183242797852,0.046881694346666336,1
hh,0.20062830901700252,0.799371686884208,39
peg/pll,0.0035008600243600085,0.9964991211891174,2
npf,0.33446883851306314,0.6655311619912166,26
etbr,0.2549023550003767,0.7450976188818459,5
ka,0.6750088727290504,0.32499112902498783,41
npt,0.9994459748268127,0.0005540300626307726,1
ct-b,0.08201286445109872,0.9179871499538421,10
ctb,0.1601225158982353,0.8398774848584643,56
lpa,0.32257555519131664,0.6774244395565995,264
ask1,0.08021557668689638,0.9197843909263611,5
map-2,0.28286458425463934,0.7171354152824279,16
tgfb,0.1090400996294597,0.8909598853853014,9
pfa,0.004112161829834804,0.9958878490659926,45
ipsi,0.27374677496279043,0.7262532254557443,457
gfra1,0.0002665108368091751,0.999733492732048,4
igf1,0.08961308578992347,0.9103869033808057,11
icam-1,0.6730256639420986,0.3269743379642023,17
hdac,0.8871068712207488,0.11289311294676736,20
pga,0.21134393920591618,0.7886560608943304,9
lc,0.21327965529441523,0.7867203429962198,30
fig,0.183716871718634,0.816283121976691,63
tenascin,0.8718903463851894,0.12810965793003562,100
mosp,0.25558781627744503,0.7444121807384658,123
app,0.11023738479722708,0.8897626124919809,95
lmo4,0.9978216648101806,0.0021783235133625567,5
gba,0.9998341798782349,0.00016582202806603163,1
c6st1,0.9998430013656616,0.0001569837040733546,1
bhlhe40,0.4898461294360459,0.5101538756862283,2
gfra,0.00039798572470317595,0.9996020346879959,4
cspg,0.7893803313099703,0.2106196645434734,305
gm-csf,0.5843474472640082,0.4156525345206319,4
folr1,0.04112463817000389,0.9588753581047058,1
np-2,0.6763912048190832,0.3236087914556265,5
b-gal,0.16529483170840345,0.8347051412177583,6
tdt,0.717309296131134,0.2826906740665436,1
ha,0.5522900280004468,0.4477099711448997,67
hats,0.0032563892018515617,0.9967435598373413,2
hdacs,0.5250048578018323,0.47499514101582463,8
sfk,0.4638430507347948,0.5361569483611675,32
pacap,0.76627989047088,0.23372011299943551,23
mf,0.12561785385478288,0.8743821144104004,5
nc,0.5485415147871079,0.45145848415476003,14
pnp,0.495776180177927,0.5042238174937665,2
s6k,0.8385441348073073,0.1614558652327105,8
p-stat3,0.6606984479019755,0.3393015532363077,27
aav2,0.10473040967471822,0.895269593974996,31
arrow,0.11798667406557277,0.8820133311320595,56
il-1ra,0.824743278808786,0.17525671083818783,11
mmps,0.5886728010082152,0.41132719862616796,16
tgf/3,0.00031468614179175347,0.9996853172779083,2
mhc,0.6393047869061355,0.3606952075715526,104
cgmp,0.36299054131310327,0.6370094688340592,13
glca,0.051538033003453165,0.9484620094299316,2
mmp-2,0.6621994696382899,0.337800528696971,10
bda,0.061023909570271706,0.9389760890967204,111
brn-3a,0.1352995203469618,0.8647004920057952,8
o-2a,0.3776088248119005,0.6223911776720673,33
oxr1,0.2963374897760029,0.7036625221371651,3
pro-mmp-9,0.0003456549602560699,0.9996542930603027,2
nrs,0.33179352469077067,0.6682064709020779,28
nt-4,0.9199685711752285,0.08003143404427894,11
gsk3b,0.6368787386295893,0.3631212605286044,33
hgf,0.01635115134868775,0.9836488504100729,108
rag,0.8589992700144649,0.1410007332969043,9
gsk3β,0.7577178048737101,0.24228219394349712,89
cmd,0.4890081317862496,0.5109918545931578,2
p-s6,0.8765171788011988,0.12348282593302429,15
pa,0.35465275876902463,0.6453472395635266,116
ng2,0.443085978442767,0.5569140157499329,268
ni,0.3606222781437772,0.6393777237474121,52
lbp,0.5039476979153207,0.4960523039128595,38
lel,0.03267514416947961,0.9673248767852783,5
rarb,0.9996090531349182,0.0003909258812200278,1
ptk,0.9998168349266052,0.00018320875824429095,1
klf,0.22501684961549473,0.7749831414595246,25
canp,0.7591413918827825,0.24085860833720824,17
sdf-1,0.31277538374783226,0.6872246109292304,19
nt-3,0.9249624428446527,0.07503755215941767,266
mbp,0.5372551454971545,0.4627448510556715,125
afgf,0.11390192783761045,0.886098048546248,9
klf2,0.0006494660046882927,0.9993504881858826,2
tfr,0.2756125509885827,0.7243874545969274,42
atf-3,0.12133860146259766,0.878661402862291,49
islet,0.6729007077374263,0.32709931093268096,4
arhox6,0.9985881447792053,0.0014118643011897802,1
pbr,0.718950165271632,0.28104982034049253,11
rptp,0.9995622932910919,0.0004376905308163259,4
nfat,0.9922762155532837,0.007723785081179812,5
pdgfra,0.00023352406181705496,0.9997664491335551,6
clf/clc,0.23358638468198478,0.7664136588573456,2
sybii,0.002466196703608148,0.997533768415451,2
corp,0.16120437157223932,0.8387956082820892,5
soc3,0.766524076461792,0.23347587883472443,1
ephrin,0.7052800484402963,0.29471996215579566,19
cralbp,0.00030030174093553796,0.9996996521949768,2
rh-b,0.3312428953620838,0.6687571053858846,15
il-6,0.6427816345804195,0.3572183700760657,114
anti-fak,0.0015725551638752222,0.9984275102615356,1
ach,0.5599778960185016,0.44002211981740613,17
nof,0.45414451181634585,0.5458555040743456,11
vpa,0.8071815542614786,0.1928184319898719,10
art,0.4135279273590529,0.5864720743159022,49
mk,0.608984575420618,0.3910154325887561,5
scaffolds,0.180917984995991,0.8190820128192426,250
ps,0.41624652645690796,0.5837534842139576,27
atf,0.0022597666829824448,0.9977402091026306,3
caspases,0.7645309592480771,0.23546903137048503,16
tgfβ,0.36479252008575713,0.6352074838941917,6
pnpfs,0.00027011451311409473,0.9997299313545227,1
fgfr,0.00028703715433948674,0.9997129678726197,20
pal,0.3779168478433734,0.6220831503160298,33
opcs,0.5535824324380295,0.44641756633304486,133
cntf,0.143623351106006,0.8563766476004963,278
nrp-1,0.06760639223918719,0.9323936105838844,35
rna,0.4416802894974568,0.558319709067069,262
sema7a,0.7538548580603674,0.24614514382410563,10
socs3,0.9121620845950704,0.08783790850472317,154
am-5,0.9467206001281738,0.053279388695955276,1
hyal-4,0.6003959973178873,0.39960400924179273,27
mp,0.4301668137680584,0.569833196636561,18
dnqx,0.0014789876295253634,0.9985210299491882,1
prb1,0.9986867308616638,0.0013132629683241248,1
xcrmp-2,0.042135612631682307,0.957864373922348,2
mirna-21,0.9997058510780334,0.00029414892196655273,1
hspg,0.3495727351443801,0.6504272697099677,17
omgp,0.9800557342163329,0.019944263498473447,67
am-4,0.9467206001281738,0.053279388695955276,1
ghap,0.3757778475565525,0.6242221557515829,15
pdgf,0.020910325282411726,0.9790896773338318,61
pkc,0.8745130995463114,0.12548688641196348,25
spion,0.09693314602974659,0.9030668368706336,13
ntfs,0.9806626439094543,0.019337362619504955,3
mapk,0.5497683201171859,0.45023166848364654,29
myt-2,0.5003147913957946,0.49968522042036057,2
activin-b,0.33855944747726124,0.6614405837851033,3
sds,0.1044556362735181,0.8955443628395809,19
g-csf,0.4721810686203432,0.5278189309653553,17
tnf-,0.745722978336562,0.25427702056767887,10
pcla,0.3476337428278798,0.6523662543900586,22
babb,0.02625019312108634,0.9737498164176941,6
gfap+,0.016630379483802245,0.9833696172472555,125
aqp4,0.3339663894855351,0.6660336151752355,7
blbp,0.0030336078052641824,0.9969663619995117,2
lfa-1,0.0003842669611913152,0.9996156692504883,2
ecm,0.544666424127239,0.45533357653646245,380
ido,0.3713535545093716,0.6286464460045299,738
sg,0.3604549919658054,0.63954499643296,13
pr,0.5056489737706822,0.49435101978475965,60
plgf,0.021379621892265277,0.9786203801631927,4
camp,0.24616347445180872,0.7538365273189848,250
dab,0.13224647871511816,0.8677535186040957,27
gad- d45α,0.9968620538711548,0.0031379712745547295,1
htk,0.0025266321220745644,0.997473398844401,3
flg,0.007524249609559774,0.9924758076667786,1
ppar-γ,0.7238248586654663,0.2761751303332858,4
tgf-,0.027216800922416247,0.9727831987702117,49
saha,0.996458113193512,0.003541888014297001,2
oh,0.47662899271485265,0.523371019564885,28
rfp,0.0003655691602034494,0.9996344089508057,5
crmp,0.9716223577658335,0.028377622564827714,6
trh,0.9531402985254923,0.046859687621084355,3
grgds,0.00032663361344020814,0.9996733665466309,2
ds,0.42112772550317457,0.5788722647805116,20
dlk,0.6681105587413185,0.33188942502602004,4
gst,0.6903996948560234,0.3096003144106362,10
pjnk,0.28558292984962463,0.714417040348053,1
hdms,0.00046015300904400647,0.999539852142334,1
gga,0.025731675072827122,0.9742683063853871,11
dna,0.5040310719476871,0.4959689322459717,172
ae1,0.00017747195670381188,0.9998225569725037,1
htt,0.8156834445251724,0.1843165639673488,497
fak,0.3523002442583675,0.6476997601072071,20
iopn,0.9945753812789917,0.0054245623759925365,1
map2,0.23890864083538568,0.7610913634738002,24
p(cl,0.2100938274161308,0.7899061854750471,16
ach4,0.48991108682821505,0.5100888889282942,2
hs,0.07744232408608849,0.922557673812059,89
hsps,0.4174604738363996,0.5825394978843784,6
ace,0.6596711640246212,0.34032884796324653,5
cn- pase,0.9997366070747375,0.00026343969511799514,1
p(tmc-cl,0.5358290948507809,0.4641709012717719,57
ks,0.447042567337014,0.5529574286312495,17
emt,0.0005785129760624841,0.9994215071201324,2
aqp-4,0.3982424338464625,0.6017575788622102,3
nile,0.5019112876179861,0.4980887105630245,4
gale,0.3891788085338703,0.6108211743157881,16
damps,0.9489458560943603,0.05105414890276734,5
syncam,0.703341128770262,0.2966588513518218,4
hmts,0.9635385274887085,0.03646140173077583,1
msg,0.0013729209313169122,0.9986270666122437,1
camp-dpk,0.002519348170608282,0.9974806904792786,1
fmrp,0.9994909962018331,0.0005090155076080313,3
zrf-1,0.0003557738149538636,0.9996442317962646,5
hdac5,0.585079499512424,0.4149205058836907,11
ei24,0.9968620538711548,0.0031379712745547295,1
egr2,0.8390759235868851,0.1609240571851842,6
ma,0.34652499640081236,0.6534750018807834,148
ritc,0.020368937846135603,0.9796310500665144,11
krab,0.3236191553781585,0.6763808708637953,3
lc3-ii,0.9255217909812927,0.07447817726060749,5
mag,0.9426154131659632,0.057384583295144335,524
pten,0.943901158247102,0.05609883694551448,363
bhn,0.6380032300949097,0.3619968295097351,1
cspgs,0.7073157932939199,0.2926842015384269,266
mmp-9,0.8314077259813476,0.168592274248059,17
ggf2,0.0009946413338184357,0.9990053772926331,1
map1b,0.48820360565580023,0.5117963980484972,61
adifab,0.3483047594054369,0.6516952067613602,2
ache,0.27049735459964724,0.72950265256688,25
adamts-4,0.41594865499064326,0.5840513189323246,4
mog,0.6076249972451478,0.39237499520531854,5
s1p,0.9998651742935181,0.00013483852671924978,1
dil,0.05463114169199402,0.945368862304932,39
nf,0.3824356143059655,0.6175643903411886,60
nf-kβ,0.9977763295173645,0.0022236418444663286,1
np-1,0.68219119761565,0.3178088050737738,19
inos,0.5686413747927872,0.4313586286123609,20
tcr,0.002304916735738516,0.9976950287818909,1
dbcamp,0.1725583140408465,0.8274416656931862,6
nogo66,0.8993101423606277,0.10068982388329459,10
clasp2,0.6252242080143853,0.37477577668115764,7
gaba,0.38127002310842123,0.6187299790525382,30
gmf-,0.00041095626875176094,0.9995890408754349,4
nmag,0.0021775527857244015,0.9978225231170654,1
pjun,0.6394416697633764,0.36055833237090457,3
bio,0.19660787596792664,0.8033921149057838,13
mngf,0.00220034783706069,0.9977996349334717,2
sigma,0.46889529253686696,0.5311047095089764,56
nl1,0.67656276489354,0.3234372199936347,11
hek293,0.501301870066527,0.4986981197507703,8
apc,0.20856599019836203,0.7914340173322542,14
aav-egfp,0.2139256344896487,0.7860743667406496,22
pp1,0.7926141453208402,0.2073858609306626,5
pst,0.7926318419007917,0.20736816091396446,7
limk,0.9943327903747559,0.005667222663760185,1
kspgs,0.9997671842575073,0.00023280177265405655,2
parp,0.3711097102728672,0.6288902829866856,5
dhp,0.6562778258230537,0.343722171819536,8
fgf2,0.000254385049560196,0.9997456198646909,105
plga,0.3295298377085693,0.6704701627300971,69
dpy,0.06821847885148599,0.9317815423011779,5
nl4,0.6028763633221388,0.39712364523438737,8
hema,0.11070436239242554,0.8892955780029297,1
gdnf,0.27977876488112086,0.7202212308919116,120
prog,0.626696236870235,0.37330376190755266,98
ang2,0.5320045329410479,0.46799546169737977,9
npcs,0.33429384300446446,0.6657061820587842,3
egf,0.1769518188537507,0.8230481774983862,53
ires,0.20946373802399376,0.7905362614225229,741
l-dopa,0.7274922677315772,0.2725077679679089,4
prictor,0.27784166894707596,0.7221583356149495,4
nos2,0.522418824955821,0.4775811710424023,2
tgf-β,0.06758849874216442,0.9324114860850387,15
rbd,0.9856591820716858,0.014340830966830254,1
npy,0.7851284135010376,0.21487159689838467,14
hbfgf,0.0006129358347000865,0.9993870755036672,6
